accession_lassa,name_nuc_seq,host,year,location,country,region,lon,lat
KM821933.1,ISTH1058-NIG-2011,Homo sapiens,2011,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821934.1,ISTH1064-NIG-2011,Homo sapiens,2011,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821935.1,ISTH1064-NIG-2011,Homo sapiens,2011,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821936.1,ISTH1069-NIG-2011,Homo sapiens,2011,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821937.1,ISTH1069-NIG-2011,Homo sapiens,2011,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821938.1,ISTH1096-NIG-2012,Homo sapiens,2012,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821939.1,ISTH1096-NIG-2012,Homo sapiens,2012,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821940.1,ISTH1107-NIG-2012,Homo sapiens,2012,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821941.1,ISTH1107-NIG-2012,Homo sapiens,2012,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821942.1,ISTH1111-NIG-2011,Homo sapiens,2011,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821943.1,ISTH1111-NIG-2011,Homo sapiens,2011,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821944.1,ISTH1121-NIG-2012,Homo sapiens,2012,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821945.1,ISTH1121-NIG-2012,Homo sapiens,2012,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821946.1,ISTH1129-NIG-2012,Homo sapiens,2012,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821947.1,ISTH1129-NIG-2012,Homo sapiens,2012,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821948.1,ISTH1137-NIG-2011,Homo sapiens,2011,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821949.1,ISTH1137-NIG-2011,Homo sapiens,2011,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821950.1,ISTH2010-NIG-2012,Homo sapiens,2012,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821951.1,ISTH2010-NIG-2012,Homo sapiens,2012,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821952.1,ISTH2016-NIG-2012,Homo sapiens,2012,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821953.1,ISTH2016-NIG-2012,Homo sapiens,2012,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821954.1,ISTH2020-NIG-2012,Homo sapiens,2012,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821955.1,ISTH2020-NIG-2012,Homo sapiens,2012,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821956.1,ISTH2025-NIG-2012,Homo sapiens,2012,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821957.1,ISTH2025-NIG-2012,Homo sapiens,2012,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821958.1,ISTH2031-NIG-2012,Homo sapiens,2012,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821959.1,ISTH2031-NIG-2012,Homo sapiens,2012,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821960.1,ISTH2037-NIG-2012,Homo sapiens,2012,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821961.1,ISTH2037-NIG-2012,Homo sapiens,2012,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821962.1,ISTH2042-NIG-2012,Homo sapiens,2012,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821963.1,ISTH2042-NIG-2012,Homo sapiens,2012,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821964.1,ISTH2046-NIG-2012,Homo sapiens,2012,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821965.1,ISTH2046-NIG-2012,Homo sapiens,2012,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821966.1,ISTH2050-NIG-2012,Homo sapiens,2012,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821967.1,ISTH2050-NIG-2012,Homo sapiens,2012,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821968.1,ISTH2057-NIG-2012,Homo sapiens,2012,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821969.1,ISTH2057-NIG-2012,Homo sapiens,2012,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821970.1,ISTH2061-NIG-2012,Homo sapiens,2012,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821971.1,ISTH2061-NIG-2012,Homo sapiens,2012,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821972.1,ISTH2064-NIG-2012,Homo sapiens,2012,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821973.1,ISTH2065-NIG-2012,Homo sapiens,2012,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821974.1,ISTH2065-NIG-2012,Homo sapiens,2012,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821975.1,ISTH2066-NIG-2012,Homo sapiens,2012,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821976.1,ISTH2066-NIG-2012,Homo sapiens,2012,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821977.1,ISTH2069-NIG-2012,Homo sapiens,2012,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821978.1,ISTH2094-NIG-2012,Homo sapiens,2012,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821979.1,ISTH2094-NIG-2012,Homo sapiens,2012,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821980.1,ISTH2121-NIG-2012,Homo sapiens,2012,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821981.1,ISTH2129-NIG-2012,Homo sapiens,2012,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821982.1,ISTH2129-NIG-2012,Homo sapiens,2012,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821983.1,ISTH2217-NIG-2012,Homo sapiens,2012,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821984.1,ISTH2217-NIG-2012,Homo sapiens,2012,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821985.1,ISTH2271-NIG-2012,Homo sapiens,2012,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821986.1,ISTH2271-NIG-2012,Homo sapiens,2012,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821987.1,ISTH2304-NIG-2012,Homo sapiens,2012,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821988.1,ISTH2304-NIG-2012,Homo sapiens,2012,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821989.1,ISTH2312-NIG-2012,Homo sapiens,2012,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821990.1,ISTH2312-NIG-2012,Homo sapiens,2012,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821991.1,ISTH2316-NIG-2012,Homo sapiens,2012,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821992.1,ISTH2316-NIG-2012,Homo sapiens,2012,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821993.1,ISTH2334-NIG-2012,Homo sapiens,2012,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821994.1,ISTH2334-NIG-2012,Homo sapiens,2012,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821995.1,ISTH2358-NIG-2012,Homo sapiens,2012,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821996.1,ISTH2358-NIG-2012,Homo sapiens,2012,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821997.1,ISTH2376-NIG-2012,Homo sapiens,2012,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821998.1,ISTH2376-NIG-2012,Homo sapiens,2012,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM821999.1,LASV003-NIG-2008,Homo sapiens,2008,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822000.1,LASV003-NIG-2008,Homo sapiens,2008,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822001.1,LASV006-NIG-2008,Homo sapiens,2008,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822002.1,LASV006-NIG-2008,Homo sapiens,2008,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822003.1,LASV035-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822004.1,LASV035-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822005.1,LASV042-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822006.1,LASV042-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822007.1,LASV045-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822008.1,LASV045-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822009.1,LASV046-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822010.1,LASV046-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822011.1,LASV049-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822012.1,LASV049-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822013.1,LASV052-NIG-2008,Homo sapiens,2008,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822014.1,LASV052-NIG-2008,Homo sapiens,2008,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822015.1,LASV056-NIG-2008,Homo sapiens,2008,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822016.1,LASV056-NIG-2008,Homo sapiens,2008,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822017.1,LASV058-NIG-2008,Homo sapiens,2008,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822018.1,LASV058-NIG-2008,Homo sapiens,2008,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822019.1,LASV063-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822020.1,LASV063-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822021.1,LASV221-NIG-2010,Homo sapiens,2010,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822022.1,LASV221-NIG-2010,Homo sapiens,2010,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822023.1,LASV224-NIG-2010,Homo sapiens,2010,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822024.1,LASV225-NIG-2010,Homo sapiens,2010,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822025.1,LASV225-NIG-2010,Homo sapiens,2010,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822026.1,LASV229-NIG-2010,Homo sapiens,2010,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822027.1,LASV229-NIG-2010,Homo sapiens,2010,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822028.1,LASV237-NIG-2010,Homo sapiens,2010,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822029.1,LASV237-NIG-2010,Homo sapiens,2010,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822030.1,LASV239-NIG-2010,Homo sapiens,2010,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822031.1,LASV239-NIG-2010,Homo sapiens,2010,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822032.1,LASV241-NIG-2011,Homo sapiens,2011,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822033.1,LASV241-NIG-2011,Homo sapiens,2011,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822034.1,LASV242-NIG-2010,Homo sapiens,2010,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822035.1,LASV242-NIG-2010,Homo sapiens,2010,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822036.1,LASV245-NIG-2011,Homo sapiens,2011,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822037.1,LASV245-NIG-2011,Homo sapiens,2011,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822038.1,LASV246-NIG-2010,Homo sapiens,2010,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822039.1,LASV246-NIG-2010,Homo sapiens,2010,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822040.1,LASV250-NIG-2011,Homo sapiens,2011,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822041.1,LASV250-NIG-2011,Homo sapiens,2011,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822042.1,LASV251-NIG-2010,Homo sapiens,2010,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822043.1,LASV251-NIG-2010,Homo sapiens,2010,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822044.1,LASV253-NIG-2011,Homo sapiens,2011,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822045.1,LASV253-NIG-2011,Homo sapiens,2011,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822046.1,LASV254-NIG-2011,Homo sapiens,2011,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822047.1,LASV254-NIG-2011,Homo sapiens,2011,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822048.1,LASV256-NIG-2010,Homo sapiens,2010,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822049.1,LASV256-NIG-2010,Homo sapiens,2010,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822050.1,LASV263-NIG-2011,Homo sapiens,2011,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822051.1,LASV263-NIG-2011,Homo sapiens,2011,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822052.1,LASV267-NIG-2010,Homo sapiens,2010,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822053.1,LASV267-NIG-2010,Homo sapiens,2010,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822054.1,LASV271-NIG-2010,Homo sapiens,2010,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822055.1,LASV271-NIG-2010,Homo sapiens,2010,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822056.1,LASV274-NIG-2010,Homo sapiens,2010,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822057.1,LASV274-NIG-2010,Homo sapiens,2010,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822058.1,LASV711-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822059.1,LASV711-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822060.1,LASV716-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822061.1,LASV719-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822062.1,LASV719-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822063.1,LASV736-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822064.1,LASV737-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822065.1,LASV737-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822066.1,LASV738-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822067.1,LASV746-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822068.1,LASV966-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822069.1,LASV966-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822070.1,LASV967-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822071.1,LASV967-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822072.1,LASV969-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822073.1,LASV971-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822074.1,LASV971-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822075.1,LASV975-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822076.1,LASV975-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822077.1,LASV976-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822078.1,LASV976-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822079.1,LASV977-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822080.1,LASV977-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822081.1,LASV978-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822082.1,LASV978-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822083.1,LASV979-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822084.1,LASV979-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822085.1,LASV981-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822086.1,LASV981-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822087.1,LASV982-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822088.1,LASV982-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822089.1,LASV988-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822090.1,LASV989-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822091.1,LASV989-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822092.1,LASV990-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822093.1,LASV990-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822094.1,LASV991-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822095.1,LASV991-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822096.1,LASV992-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822097.1,LASV992-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822098.1,LASV993-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822099.1,LASV993-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822100.1,LASV1000-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822101.1,LASV1000-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822102.1,LASV1008-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822103.1,LASV1008-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822104.1,LASV1011-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822105.1,LASV1011-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822106.1,LASV1015-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822107.1,LASV1015-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822108.1,LASV1016-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822109.1,LASV1016-NIG-2009,Homo sapiens,2009,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822110.1,LM032-SLE-2010,Mastomys natalensis,2010,"Kenema, Sierra Leone",Sierra Leone,Kenema,-11.1957172,7.863214699999999
KM822111.1,LM032-SLE-2010,Mastomys natalensis,2010,"Kenema, Sierra Leone",Sierra Leone,Kenema,-11.1957172,7.863214699999999
KM822112.1,LM222-SLE-2010,Mastomys natalensis,2010,"Kenema, Sierra Leone",Sierra Leone,Kenema,-11.1957172,7.863214699999999
KM822113.1,LM222-SLE-2010,Mastomys natalensis,2010,"Kenema, Sierra Leone",Sierra Leone,Kenema,-11.1957172,7.863214699999999
KM822114.1,LM395-SLE-2009,Mastomys natalensis,2009,"Kenema, Sierra Leone",Sierra Leone,Kenema,-11.1957172,7.863214699999999
KM822115.1,LM395-SLE-2009,Mastomys natalensis,2009,"Kenema, Sierra Leone",Sierra Leone,Kenema,-11.1957172,7.863214699999999
KM822116.1,LM765-SLE-2012,Mastomys natalensis,2012,"Kenema, Sierra Leone",Sierra Leone,Kenema,-11.1957172,7.863214699999999
KM822117.1,LM765-SLE-2012,Mastomys natalensis,2012,"Kenema, Sierra Leone",Sierra Leone,Kenema,-11.1957172,7.863214699999999
KM822118.1,LM771-SLE-2012,Mastomys natalensis,2012,"Kenema, Sierra Leone",Sierra Leone,Kenema,-11.1957172,7.863214699999999
KM822119.1,LM774-SLE-2012,Mastomys natalensis,2012,"Kenema, Sierra Leone",Sierra Leone,Kenema,-11.1957172,7.863214699999999
KM822120.1,LM774-SLE-2012,Mastomys natalensis,2012,"Kenema, Sierra Leone",Sierra Leone,Kenema,-11.1957172,7.863214699999999
KM822121.1,LM776-SLE-2012,Mastomys natalensis,2012,"Kenema, Sierra Leone",Sierra Leone,Kenema,-11.1957172,7.863214699999999
KM822122.1,LM776-SLE-2012,Mastomys natalensis,2012,"Kenema, Sierra Leone",Sierra Leone,Kenema,-11.1957172,7.863214699999999
KM822123.1,LM778-SLE-2012,Mastomys natalensis,2012,"Kenema, Sierra Leone",Sierra Leone,Kenema,-11.1957172,7.863214699999999
KM822124.1,LM778-SLE-2012,Mastomys natalensis,2012,"Kenema, Sierra Leone",Sierra Leone,Kenema,-11.1957172,7.863214699999999
KM822125.1,LM779-SLE-2012,Mastomys natalensis,2012,"Kenema, Sierra Leone",Sierra Leone,Kenema,-11.1957172,7.863214699999999
KM822126.1,LM779-SLE-2012,Mastomys natalensis,2012,"Kenema, Sierra Leone",Sierra Leone,Kenema,-11.1957172,7.863214699999999
KM822127.1,Pinneo-NIG-1969,Homo sapiens,1969,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822128.1,Pinneo-NIG-1969,Homo sapiens,1969,"Edo, Nigeria",Nigeria,Edo,5.9304056,6.6341831000000004
KM822129.1,Z0947-SLE-2011,Mastomys natalensis,2011,"Kenema, Sierra Leone",Sierra Leone,Kenema,-11.1957172,7.863214699999999
KM822130.1,Z0947-SLE-2011,Mastomys natalensis,2011,"Kenema, Sierra Leone",Sierra Leone,Kenema,-11.1957172,7.863214699999999
KM822131.1,Z0948-SLE-2011,Mastomys natalensis,2011,"Kenema, Sierra Leone",Sierra Leone,Kenema,-11.1957172,7.863214699999999
KM822132.1,Z0948-SLE-2011,Mastomys natalensis,2011,"Kenema, Sierra Leone",Sierra Leone,Kenema,-11.1957172,7.863214699999999
KP339050.1,129,Mastomys natalensis,2003,"Gbetaya, Guinea",Guinea,Gbetaya,NA,NA
KP339051.1,132,Mastomys natalensis,2003,"Gbetaya, Guinea",Guinea,Gbetaya,NA,NA
KP339052.1,148,Mastomys natalensis,2003,"Gbetaya, Guinea",Guinea,Gbetaya,NA,NA
KP339053.1,153,Mastomys natalensis,2003,"Gbetaya, Guinea",Guinea,Gbetaya,NA,NA
KP339054.1,170,Mastomys natalensis,2003,"Gbetaya, Guinea",Guinea,Gbetaya,NA,NA
KP339055.1,185,Mastomys natalensis,2003,"Bantou, Guinea",Guinea,Bantou,-10.58785,10.05058
KP339056.1,263,Mastomys natalensis,2003,"Bantou, Guinea",Guinea,Bantou,-10.58785,10.05058
KP339057.1,289,Mastomys natalensis,2003,"Bantou, Guinea",Guinea,Bantou,-10.58785,10.05058
